Year,Offense Subcategory,ACTUAL_COUNT
2013,Commercial Sex Acts,8
2013,Involuntary Servitude,1
2014,Commercial Sex Acts,53
2014,Involuntary Servitude,25
2015,Commercial Sex Acts,63
2015,Involuntary Servitude,27
2016,Commercial Sex Acts,275
2016,Involuntary Servitude,50
2017,Commercial Sex Acts,218
2017,Involuntary Servitude,112
2018,Commercial Sex Acts,218
2018,Involuntary Servitude,59
2019,Commercial Sex Acts,461
2019,Involuntary Servitude,107
2020,Commercial Sex Acts,605
2020,Involuntary Servitude,173
